Connection Info,Device ID,Timestamp,Log Entry
[Connection from 127.0.0.1 at 2025-12-06 14:18:06],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:17:56,=== Session Started ===
[Connection from 127.0.0.1 at 2025-12-06 14:18:16],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:18:06,=== New Session ===
[Connection from 127.0.0.1 at 2025-12-06 14:18:16],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:18:11,kkkkkkkkkkkkkkkkkkk
[Connection from 127.0.0.1 at 2025-12-06 14:18:16],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:18:13,uuuuuuuuuuuuuuuuuuuuui
[Connection from 127.0.0.1 at 2025-12-06 14:18:16],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:18:16,iiiiiiiiiiiiiiiiiiiiiiiu
[Connection from 127.0.0.1 at 2025-12-06 14:18:26],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:18:16,=== New Session ===
[Connection from 127.0.0.1 at 2025-12-06 14:18:26],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:18:19,yyyyyytttttttttt
[Connection from 127.0.0.1 at 2025-12-06 14:18:26],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:18:21,(rttttttttttttttttt
[Connection from 127.0.0.1 at 2025-12-06 14:18:26],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:18:22,yyyyyyyyyyyyyyyyyyyyyyyy
[Connection from 127.0.0.1 at 2025-12-06 14:18:28],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:18:26,=== New Session ===
[Connection from 127.0.0.1 at 2025-12-06 14:18:28],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:18:27,uuuuuuuuuuuuuuuuuyyyyyyyyyyyyyyyyyyy
[Connection from 127.0.0.1 at 2025-12-06 14:18:28],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:18:28,hhhhhhhhhhhhhhhhh
[Connection from 127.0.0.1 at 2025-12-06 14:18:28],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:18:28,=== Session Ended (Manual Stop) ===
[Connection from 127.0.0.1 at 2025-12-06 14:20:43],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:20:33,=== Session Started ===
[Connection from 127.0.0.1 at 2025-12-06 14:20:43],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:20:42,kkkkkkkkkkkkkkkk
[Connection from 127.0.0.1 at 2025-12-06 14:20:51],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:20:43,=== New Session ===
[Connection from 127.0.0.1 at 2025-12-06 14:20:51],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:20:44,ooooooooooooooooo
[Connection from 127.0.0.1 at 2025-12-06 14:20:51],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:20:45,ooooooooooooooo
[Connection from 127.0.0.1 at 2025-12-06 14:20:51],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:20:48,looooooooooooooooooo
[Connection from 127.0.0.1 at 2025-12-06 14:20:51],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:20:50,^^^^^^^^^^^^^^^^
[Connection from 127.0.0.1 at 2025-12-06 14:20:51],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:20:51,=== Session Ended (Manual Stop) ===
[Connection from 127.0.0.1 at 2025-12-06 14:21:19],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:21:09,=== Session Started ===
[Connection from 127.0.0.1 at 2025-12-06 14:21:19],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:21:16,jjjjjjjjjjjjjjjjj
[Connection from 127.0.0.1 at 2025-12-06 14:21:19],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:21:18,ppppppppppppppppppp
[Connection from 127.0.0.1 at 2025-12-06 14:21:23],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:21:19,=== New Session ===
[Connection from 127.0.0.1 at 2025-12-06 14:21:23],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:21:20,jjjjjjjjjjjjjjjjjjjjjj
[Connection from 127.0.0.1 at 2025-12-06 14:21:23],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:21:23,kkkkkkkkkkkkkkkk
[Connection from 127.0.0.1 at 2025-12-06 14:21:23],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:21:23,=== Session Ended (Manual Stop) ===
[Connection from 127.0.0.1 at 2025-12-06 14:33:42],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:33:42,=== Session Ended (Manual Stop) ===
[Connection from 127.0.0.1 at 2025-12-06 14:34:57],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:34:57,=== Session Ended (Manual Stop) ===
[Connection from 127.0.0.1 at 2025-12-06 14:35:57],Administrator@WIN-OME3QRRSE98_Windows,2025-12-06 14:35:57,=== Session Ended (Manual Stop) ===
[Connection from 127.0.0.1 at 2025-12-07 18:01:07],Administrator@WIN-OME3QRRSE98_Windows,2025-12-07 18:00:55,=== Session Started ===
[Connection from 127.0.0.1 at 2025-12-07 18:01:07],Administrator@WIN-OME3QRRSE98_Windows,2025-12-07 18:01:07,&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
[Connection from 127.0.0.1 at 2025-12-07 18:01:07],Administrator@WIN-OME3QRRSE98_Windows,2025-12-07 18:01:07,=== Session Ended (Manual Stop) ===
[Connection from 127.0.0.1 at 2025-12-07 18:01:44],Administrator@WIN-OME3QRRSE98_Windows,2025-12-07 18:01:32,=== Session Started ===
[Connection from 127.0.0.1 at 2025-12-07 18:01:44],Administrator@WIN-OME3QRRSE98_Windows,2025-12-07 18:01:44,=== Session Ended (Manual Stop) ===
[Connection from 127.0.0.1 at 2025-12-07 18:02:29],Administrator@WIN-OME3QRRSE98_Windows,2025-12-07 18:02:21,=== Session Started ===
[Connection from 127.0.0.1 at 2025-12-07 18:02:29],Administrator@WIN-OME3QRRSE98_Windows,2025-12-07 18:02:29,=== Session Ended (Manual Stop) ===
[Connection from 127.0.0.1 at 2025-12-07 18:02:53],Administrator@WIN-OME3QRRSE98_Windows,2025-12-07 18:02:49,=== Session Started ===
[Connection from 127.0.0.1 at 2025-12-07 18:02:53],Administrator@WIN-OME3QRRSE98_Windows,2025-12-07 18:02:53,=== Session Ended (Manual Stop) ===
[Connection from 127.0.0.1 at 2025-12-07 18:03:17],Administrator@WIN-OME3QRRSE98_Windows,2025-12-07 18:02:57,=== Session Started ===
[Connection from 127.0.0.1 at 2025-12-07 18:03:17],Administrator@WIN-OME3QRRSE98_Windows,2025-12-07 18:03:17,fffffffffffffffffffffffffffffffff
[Connection from 127.0.0.1 at 2025-12-07 18:03:17],Administrator@WIN-OME3QRRSE98_Windows,2025-12-07 18:03:17,=== Session Ended (Manual Stop) ===
[Connection from 127.0.0.1 at 2025-12-07 18:05:26],Administrator@WIN-OME3QRRSE98_Windows,2025-12-07 18:05:16,=== Session Started ===
[Connection from 127.0.0.1 at 2025-12-07 18:05:36],Administrator@WIN-OME3QRRSE98_Windows,2025-12-07 18:05:26,=== New Session ===
[Connection from 127.0.0.1 at 2025-12-07 18:05:36],Administrator@WIN-OME3QRRSE98_Windows,2025-12-07 18:05:31,aaaaaaaaaaaaaaaaaaaaaaaaaaa
[Connection from 127.0.0.1 at 2025-12-07 18:05:36],Administrator@WIN-OME3QRRSE98_Windows,2025-12-07 18:05:32,rrrrrrrrrrrrrrrrrrrrrrr
[Connection from 127.0.0.1 at 2025-12-07 18:05:36],Administrator@WIN-OME3QRRSE98_Windows,2025-12-07 18:05:33,t
[Connection from 127.0.0.1 at 2025-12-07 18:05:36],Administrator@WIN-OME3QRRSE98_Windows,2025-12-07 18:05:34,t
[Connection from 127.0.0.1 at 2025-12-07 18:05:36],Administrator@WIN-OME3QRRSE98_Windows,2025-12-07 18:05:35,y
[Connection from 127.0.0.1 at 2025-12-07 18:05:36],Administrator@WIN-OME3QRRSE98_Windows,2025-12-07 18:05:35,y
[Connection from 127.0.0.1 at 2025-12-07 18:05:36],Administrator@WIN-OME3QRRSE98_Windows,2025-12-07 18:05:36,hjg
[Connection from 127.0.0.1 at 2025-12-07 18:05:38],Administrator@WIN-OME3QRRSE98_Windows,2025-12-07 18:05:36,=== New Session ===
[Connection from 127.0.0.1 at 2025-12-07 18:05:38],Administrator@WIN-OME3QRRSE98_Windows,2025-12-07 18:05:36,*d
[Connection from 127.0.0.1 at 2025-12-07 18:05:38],Administrator@WIN-OME3QRRSE98_Windows,2025-12-07 18:05:36,g
[Connection from 127.0.0.1 at 2025-12-07 18:05:38],Administrator@WIN-OME3QRRSE98_Windows,2025-12-07 18:05:38,=== Session Ended (Manual Stop) ===
[Connection from 127.0.0.1 at 2025-12-08 15:02:50],roua afsa@DESKTOP-LA5Q38B_Windows,2025-12-08 14:57:02,=== Session Started ===
[Connection from 127.0.0.1 at 2025-12-08 15:02:50],roua afsa@DESKTOP-LA5Q38B_Windows,2025-12-08 14:58:47,chat 
[Connection from 127.0.0.1 at 2025-12-08 15:02:50],roua afsa@DESKTOP-LA5Q38B_Windows,2025-12-08 14:58:52,
[Connection from 127.0.0.1 at 2025-12-08 15:02:50],roua afsa@DESKTOP-LA5Q38B_Windows,2025-12-08 15:00:19,=== Session Ended (Manual Stop) ===
[Connection from 127.0.0.1 at 2025-12-08 15:02:50],roua afsa@DESKTOP-LA5Q38B_Windows,2025-12-08 15:02:40,=== Session Started ===
[Connection from 127.0.0.1 at 2025-12-08 15:03:00],roua afsa@DESKTOP-LA5Q38B_Windows,2025-12-08 15:02:50,=== New Session ===
[Connection from 127.0.0.1 at 2025-12-08 15:03:10],roua afsa@DESKTOP-LA5Q38B_Windows,2025-12-08 15:03:00,=== New Session ===
[Connection from 127.0.0.1 at 2025-12-08 15:03:15],roua afsa@DESKTOP-LA5Q38B_Windows,2025-12-08 15:03:10,=== New Session ===
[Connection from 127.0.0.1 at 2025-12-08 15:03:15],roua afsa@DESKTOP-LA5Q38B_Windows,2025-12-08 15:03:15,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
[Connection from 127.0.0.1 at 2025-12-08 15:03:15],roua afsa@DESKTOP-LA5Q38B_Windows,2025-12-08 15:03:15,=== Session Ended (Manual Stop) ===
[Connection from 127.0.0.1 at 2025-12-08 15:05:17],roua afsa@DESKTOP-LA5Q38B_Windows,2025-12-08 15:05:07,=== Session Started ===
[Connection from 127.0.0.1 at 2025-12-08 15:05:27],roua afsa@DESKTOP-LA5Q38B_Windows,2025-12-08 15:05:17,=== New Session ===
[Connection from 127.0.0.1 at 2025-12-08 15:06:30],roua afsa@DESKTOP-LA5Q38B_Windows,2025-12-08 15:05:27,=== New Session ===
[Connection from 127.0.0.1 at 2025-12-08 15:06:30],roua afsa@DESKTOP-LA5Q38B_Windows,2025-12-08 15:05:31,iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
[Connection from 127.0.0.1 at 2025-12-08 15:06:30],roua afsa@DESKTOP-LA5Q38B_Windows,2025-12-08 15:05:31,=== Session Ended (Manual Stop) ===
[Connection from 127.0.0.1 at 2025-12-08 15:06:30],roua afsa@DESKTOP-LA5Q38B_Windows,2025-12-08 15:06:19,=== Session Started ===
[Connection from 127.0.0.1 at 2025-12-08 15:06:40],roua afsa@DESKTOP-LA5Q38B_Windows,2025-12-08 15:06:30,=== New Session ===
